,_id,ltable_name,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,label
745,8491889,boreal felt lichen,Pannariaceae,Terrestrial,"Norway; Sweden; Canada (New Brunswick - Regionally Extinct, Newfoundland I, Nova Scotia); ","
    Threatened by forest management and is highly sensitive to atmospheric air pollutants such as acid rain.

    
  ","[""\n    The status of the areas of some of the largest subpopulations in Newfoundland is still a matter of debate. The habitats of the former Norwegian populations were suggested as nature reserves. The Committee on the Status of Endangered Wildlife in Canada (COSEWIC) has designated the 'Atlantic population' (New Brunswick and Nova Scotia) as Endangered and the 'Boreal population' (Newfoundland) as Special Concern.\n\n    \n  ""]",Decreasing,Critically Endangered,3,Erioderma pedicellatum,boreal felt lichen ,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Pannariaceae,Erioderma ,Diameter: 2 - 5 cm (2),In addition to being highly sensitive to atmospheric pollutants such as acid rain the boreal felt lichen is extremely vulnerable to habitat loss (1) (2). Logging not only removes lichen substrate but also alters the microclimate of the forest a factor to which this species is particularly susceptible (4). Owing to the impacts of habitat loss and air pollution the Atlantic population has declined by more than 90 percent over the past two decades (2) (3).,The Atlantic population of the boreal felt lichen is protected in Canada under the Federal Species at Risk Act (SARA) and is the focus of an ongoing recovery strategy (2). Crucially efforts are being made through land purchases and agreements with landowners to formally protect areas of forest that are home to this rare species (2) (3). Furthermore conservationists are engaging with private and government forest managers to encourage their participation in the mapping of boreal felt lichen habitat and the implementation of management plans that will prevent further habitat loss (2). ,loss;pollution; ,protected; ,Critically Endangered,"['Peru', 'Bolivia', 'Uruguay']",3,2,1.0
746,6064557,,Araucariaceae,Terrestrial,New Caledonia; ,"
    The species has experienced severe declines because of nickel mining (and associated) activities. In general, it regenerates poorly and grows slowly. None of the subpopulations are protected.

    
  ",,Decreasing,Endangered,1,Araucaria rulei,rule araucaria ,Plantae,Tracheophyta,Coniferopsida,Coniferales,Araucariaceae,Araucaria ,Height: up to 30 m (2) (3)Trunk diameter: up to 0.6 m (2),As on many Pacific islands the native vegetation of New Caledonia has been significantly modified by human activities with over 50 percent of the original cover now gone (8) (9). The island has the largest known nickel deposits in the world (9) and land clearance for mining is the greatest threat both to <em>Araucaria rulei</em> and to the many other <strong>endemic</strong> conifers which are often restricted to the mineral-rich areas from which the nickel ore is obtained. In addition to causing widespread deforestation mining activities have also resulted in large waste heaps and increased erosion (1) (2) (6) (7) (9). Further threats to the native vegetation include human-generated wildfires which are often started deliberately to clear brush as well as agriculture livestock grazing and the spread of invasive exotic species (6) (7) (8) (9) (10).,New Caledonia is considered a biodiversity â??hotspotâ?? having for its size a remarkably unique and diverse flora and fauna (8) (9) (10). Of the 3000 or so plant species over 74 percent are <strong>endemic</strong> (8) (9) as are all but one of 44 conifer species (6) (9). Two thirds of the worldâ??s <em>Araucaria</em> species are also unique to this island (2) (5) (9). However the protected area network on New Caledonia is not currently representative of this diversity and most of the islandâ??s native plants including <em>Araucaria rulei</em> do not occur in any protected areas. In addition very few existing reserves are covered by any mining regulations (8) (9). Conservation priorities therefore include the expansion of New Caledoniaâ??s protected area network with the creation of new more representative reserves as well as a ban on mining within these areas (6) (7) (8) (9). More effective fire control public education programmes the control of invasive species and the potential development of ecotourism have also been recommended (6) (7) (9). ,loss;invasive; ,protected; ,Critically Endangered,['Zambia'],1,2,1.0
751,8548164,"burmese starred tortoise, flatback tortoise",Testudinidae,,Myanmar; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,Critically Endangered,1,Geochelone platynota,burmese starred tortoise ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone ,Carapace length: 26 cm (2),Like many turtles and tortoises of Southeast Asia the Burmese star tortoise has undergone dramatic declines due to the increasing demand in the Asian market in which it is sold for its meat and perceived medicinal value (9). Although â??subsistenceâ?? gathering of the species has occurred for hundreds of years by native people together with collection for its yellow-rayed <strong>carapace</strong> which is used for a container for cooking oil seeds etc. the impact was relatively small and sustainable. In recent years however subsistence has been replaced by mass commercial harvesting as the price of this species skyrocketed in the Asian markets (primarily Taiwan and China) (8). The tortoise has also been hard hit recently by the illegal international pet trade often ending up in European and North American collections (9). With their distinctive markings and dramatic colours these tortoises are attractive to collectors and their rarity makes them particularly valuable (10). Indeed adults can fetch up to US$7000 each from private collectors in the Western world (10) and this high price and demand encourages overexploitation of wild populations (5). Habitat destruction and wild fires also pose a threat to these tortoises particularly to smaller individuals (5).,The Burmese star tortoise exists in two protected areas Shwe Settaw Wildlife Sanctuary and Minzontaung Wildlife Sanctuary and an area proposed for protected status Myaleik Taung. At the Minzontaung Wildlife Sanctuary and Myaleik Taung the species is protected by local religious beliefs that deem it bad luck to collect the tortoises and commercial poaching is so far virtually non-existent. The Sanctuary is also well patrolled by guards with access strictly controlled and wild fires are managed. The Minzontaung Wildlife Sanctuary and Myaleik Taung therefore offer excellent potential for the successful conservation of the Burmese star tortoise (5). Sadly the Shwe Settaw Wildlife Sanctuary does not seem to be faring so well which has recently been reduced by around 30% due to the sale of a large tract to an agricultural development consortium. Subsistence and commercial harvest from the Sanctuary is commonplace with one village trader admitting to collecting 300 individuals in 6 months and there being at least one trader in every village. The Burmese star tortoise is fully protected by law and it is a capital offence to remove them from the wild. However the Myanmar Government reportedly ignore the capture and sale of these tortoises or are easily bribed with rampant civil war and radical guerrilla soldiers near the borders deterring police involvement there. A captive breeding programme has been set up at the Shwe Settaw Wildlife Sanctuary but hybridisation with <i>Indotestudo elongata</i> in a shared fenced area has been common. There is also evidence that this area is quickly grazed and tortoises here starve to death at an alarming rate. Stricter enforcement of protection laws is desperately needed and more effective management protocols at this Sanctuary but as long as a lucrative market exists tortoise hunting is likely to remain an attractive economic option for rural people (8). One suggestion has been to promote the significance of rural religious beliefs for the benefit of tortoise conservation in this area which has helped protect this beautiful species so effectively in the Minzontaung Wildlife Sanctuary and Myaleik Taung (5). However in a financially depressed society such as this the economic lure of such profitable natural resources may sadly win out (8). ,pet; ,protection law;captive breeding;protected; ,Critically Endangered,['Peru'],1,1,1.0
752,3371870,"greater bigfooted mouse, longtailed bigfooted mouse",Nesomyidae,Terrestrial,Madagascar; ,"
    This species is threatened by predation by feral cats and dogs (L. Dollar pers. comm.), loss of habitat to wildfires and selective logging.

    
  ","['\n    This species is present in the Ankarafantsika National Park. There is a need to manage the habitat of this species, undertake further studies of the species natural history and implement control measures for feral cats and dogs in the species range.\n\n    \n  ']",Decreasing,Endangered,1,Macrotarsomys ingens,greater bigfooted mouse ,Animalia,Chordata,Mammalia,Rodentia,Muridae,Macrotarsomys ,50 â?? 60 g (2),The greater big-footed mouse is very vulnerable to any threats due to its very restricted distribution.  The dry deciduous forests of Madagascar are threatened by burning to clear land for agriculture and grazing selective logging and expanding rural human populations (5).  Such habitat destruction and degradation will inevitably impact heavily on the greater big-footed mouse.,The greater big-footed mouse occurs within the Ankarafantsika National Park.  Unfortunately this area still faces the threat of frequent fires during the dry season and encroachment by grazing cattle but international conservation organisations are working to improve the protection of the reserve (6). , , ,Endangered,"['Mauritius', 'Reunion']",2,0,1.0
753,5011668,mountain nyala,Bovidae,Terrestrial,Ethiopia; ,"
    Threatened by illegal hunting, destruction of montane forest and heathlands, encroachment by cattle, expansion of high-altitude cultivation, roads, and harassment by dogs. Permanent occupation of suitable habitat as a result of increasing human and livestock populations is exerting tremendous pressure on nyala habitat throughout the range, with anecdotal evidence suggesting mountain nyalas actively avoid livestock (Sillero-Zubiri in press). Mountain Nyalas are extensively hunted for meat and horns, the latter used for local medicine and to make nipples for traditional milk bottles. Trophy hunting blocks in Arsi have been hunted out and concessions moved to Bale, with continued pressure by the industry for additional hunting blocks and larger quotas. Effects of current trophy-hunting programs are not well understood and current trophy hunting quotas may be unsustainable in the long-term (Sillero-Zubiri in press). Its restricted range, and fragmented populations, make it highly vulnerable to human activities and stochastic events.

    
  ","['\n    Fully protected by law but enforcement is generally absent. Effective protection is limited to around 20 km�?² of habitat in Gaysay and around Bale Mountains N.P. headquarters. The Bale Mountains National Park harbours around half the total population of mountain nyalas. The small Kuni-Muktar Wildlife Sanctuary was established in 1990 as a second protected area for mountain nyala, but by 1996 this sanctuary had suffered severely from poaching, deforestation, cultivation and gully erosion, and the species no longer occurred.', <br/>, <br/>, 'The mountain nyala, along with the Ethiopian wolf, is a key flagship species for Bale Mountains National Park and its future will be closely tied to the future of this protected area. It is also very important to spread the risk by establishing effective protection and management of mountain nyala populations elsewhere within its range. Sustainable trophy hunting in some of these areas has very high potential for generating the revenue needed to fund effective conservation of this species and the other endemics which share its habitat. It may also be advisable to establish a self-sustaining captive population in collaboration with the Ethiopian conservation authorities, as an insurance against future adversity for the wild population.\n\n    \n  ']",Decreasing,Endangered,1,Tragelaphus buxtoni,mountain nyala ,Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Tragelaphus ,150 - 320 kg (3) (4),The mountain nyala has undergone a substantial decline in recent decades from an estimated 7000 to 8000 individuals in the 1960s (2) (11) to perhaps fewer than 2500 today (1) although others believe it to number nearer 4000 (4). It has also reduced in range and remaining populations are fragmented making them particularly vulnerable (1) (10). The main threats to the mountain nyala come from human activity within its range with increasing human and livestock populations putting ever-increasing pressure on the species through illegal hunting competition with cattle predation by domestic dogs and habitat clearance for agriculture grazing firewood harvesting and settlement (1) (2) (4) (10) (11). The species has been extensively hunted for its meat and horns and there is continued pressure from the trophy hunting industry to increase hunting quotas (1) (4).,Despite being fully protected by law enforcement is generally absent and the mountain nyala is only effectively protected within a small area in the north of Bale Mountains National Park which is estimated to hold a large proportion of the total population (1) (9) (14). A smaller protected area Kuni-Muktar Wildlife Sanctuary was established for the species in 1990 but severe poaching deforestation cultivation and erosion were thought to have eliminated the mountain nyala there (1) (10) until the presence of a small population was confirmed in 2003 (4). No mountain nyalas are currently kept in captivity (2) (10) (12) and it has been suggested that a self-sustaining captive population be established as an insurance against further losses in the wild (1) (10). ,hunting;pet; ,protected; ,Endangered,['Sri Lanka'],1,2,1.0
754,8982479,venda cycad,Zamiaceae,Terrestrial,South Africa (Limpopo Province); ,"
    This species is threatened due to over-collecting for ornamental purposes.

    
  ",['\n    This species is listed on Appendix I of the CITES Appendices. Plants occur (or occurred) in the Makuya National Park which forms part of the Kruger National Park.\n\n    \n  '],Decreasing,Critically Endangered,1,Encephalartos hirsutus,cycad ,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos ,Trunk length: up to 4.2 m (2)Trunk diameter: 35 - 40 cm (2),Over the past few decades many South African cycads have become increasingly scarce in the wild with many species now facing the very real threat of extinction. Various factors account for their decline but the main threats include illegal harvesting for horticulture food and medicine habitat loss and the spread of alien vegetation (9). Although the threats to <em>E. hirsutus</em> are not well understood with a population of less than 300 individuals restricted to an extremely small range this species is in significant danger of becoming extinct in the near future (1) (9).,There are not known to be any specific conservation measures in place for this Critically Endangered species but like all South African cycads <em>E. hirsutus</em> is partially protected by its listing on Appendix I of CITES which permits trade only under exceptional circumstances (3). ,loss; ,cites;protected; ,Critically Endangered,['South Africa'],1,1,1.0
755,2350777,"elongated tortoise, pineapple tortoise, rednosed tortoise, yellowheaded tortoise, yellow tortoise",Testudinidae,,Bangladesh; Cambodia; India; Lao People's Democratic Republic; Malaysia; Myanmar; Nepal; Thailand; Viet Nam; ,,['\n    It is listed on CITES Appendix II.\n\n    \n  '],,Endangered,9,Indotestudo elongata,elongated tortoise ,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Indotestudo ,3.5 kg (2),The elongated tortoise is under extreme pressure across most of its range largely due to it being widely harvested and sold on the Asian food markets (2). It is the most common tortoise to be shipped to the Chinese food markets from Vietnam (2); approximately 100000 were shipped from Ho Chi Minh City in 1993 (5).,This species has been placed on Appendix II of the Convention on International Trade in Endangered Species (CITES) which regulates its legal international trade (2). ,pet; ,cites;captive breeding; ,Endangered,['Greece'],1,1,1.0
762,8887352,cooks holly,Aquifoliaceae,Terrestrial,Puerto Rico; ,"
    The construction of communication towers is likely to have destroyed a large part of the original population on Cerro de Punta. Further development, road building and trampling threaten remaining plants.

    
  ",['\n    It is listed on the US Endangered Species Act.\n\n    \n  '],,Critically Endangered,1,Ilex cookii,cooks holly ,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Aquifoliaceae,Ilex ,Max height: 2-3 m (2),Having last been reviewed on the IUCN Red List in 1998 the conservation status of Cookâ??s holly is in urgent need of updating (1). The construction of communication towers on Cerro de Punta is thought to have destroyed a large part of the original population with further development and construction activities being cited as the main threat to the remaining plants (1) (3). The highly restricted range of Cookâ??s holly also makes it extremely vulnerable to natural disturbances such as landslides and hurricanes (2).,Cookâ??s holly was listed on the US Endangered Species Act in 1987 and a Recovery Plan was drawn up by the US Fish and Wildlife Service in 1991 (1) (2). Several necessary actions were outlined in the plan including: the protection and monitoring of existing populations; the undertaking of research into the speciesâ?? life history and reproductive biology; and the propagation of seedlings for the enhancement of existing populations and the establishment of new ones (2). However since none of these measures appear to have been implemented thus far (5) an up-to-date evaluation of the condition of the remaining plants seems to be seriously overdue. , ,endangered species act; ,Critically Endangered,['Kenya'],1,0,1.0
777,5662026,,Nepenthaceae,Terrestrial,Indonesia (Kalimantan); ,,['\n    On CITES Appendix II.\n\n    \n  '],,Endangered,1,Nepenthes boschiana,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: up to 5m (2)Pitcher height: 20 cm (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  In Indonesia habitat destruction is a major problem as a result of illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  <i>Nepenthes boschiana</i> is not found in any national park or protected area (8) and has a highly localised distribution making this species particularly susceptible to extinction through habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes boschiana</i> take longer to recover than lowland plants after such events as growth is slower (2).,Although listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) which limits the international export of this species (3) trade is very difficult to regulate.  There is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes boschiana</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and establishment of habitat reserves (8). ,loss;environmental;environment; ,cites; ,Endangered,['United States'],1,3,1.0
781,1286582,,Ranidae,Terrestrial; Freshwater,"Taiwan, Province of China; ","
    The major threat to this species is habitat loss due to agriculture and infrastructure development.

    
  ","['\n    It is not recorded from any protected areas, and there is a need for improved protection of low-altitude hill forests within its range.\n\n    \n  ']",Decreasing,Endangered,1,Rana sauteri,brown frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana ,Male snout-vent length: 42 mm (2)Female snout-vent length: 52 mm (2),Currently this species is relatively common but its numbers are declining. It is primarily threatened by habitat loss due to agriculture and industry (11). Furthermore <em>Rana sauteri</em> is also potentially threatened by the chytrid fungus responsible for chytridiomycosis an emerging infectious disease which is detrimental to amphibian species (13).,<em>Rana sauteri</em> has not been recorded from any protected areas. Improved protection of its low-altitude forest habitat is required in order to conserve this species (1). ,loss;disease; ,protected; ,Endangered,"['Costa Rica', 'Panama']",2,2,1.0
786,527070,,Anniellidae,Terrestrial,Mexico; ,"
    Its sand dune habitat is highly threatened by general coastal development for touristic resorts, urbanization, road building, expansion of intensive agriculture, and the impacts of off-road vehicles.

    
  ","['\n    There are no conservation measures in place; the species is not known from any protected areas. Populations of this species should be monitored to record changes in abundance and distribution. Protected areas are urgently needed where the species can survive, away from the threats of expanding human activities and off-road vehicles.\n\n    \n  ']",Decreasing,Endangered,1,Anniella geronimensis,baja california legless lizard ,Animalia,Chordata,Reptilia,Squamata,Anniellidae,Anniella ,Length: 10 - 16.5 cm (2),Coastal tourist development road building intensification of agriculture (in particular the use of pesticides) use of off-road vehicles and general urbanisation all threaten the sand dune ecosystem which the Baja California legless lizard inhabits (1).,There are no specific conservation measures currently in place for the Baja California legless lizard<strong>. </strong>However changes in the abundance and distribution of this species need to be recorded through the monitoring of its populations and protected areas are urgently needed for its survival (1). , ,protected; ,Endangered,['South Africa'],1,0,1.0
793,5701602,,Nepenthaceae,Terrestrial,Malaysia (Sabah); ,,['\n    On CITES Appendix II.\n\n    \n  '],,Endangered,1,Nepenthes burbidgeae,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: up to 15 m (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  The biodiversity of Indonesia is significantly threatened by widespread habitat destruction caused by illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  <i>Nepenthes burbidgeae</i> has a highly localised distribution making this species particularly susceptible to extinction throught habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes burbidgeae</i> take longer to recover than lowland plants after such events as growth is slower (2).,<i>Nepenthes burbidgeae</i> is found only on Mount Kinabalu which is situated within Kinabalu National Park.  This regionâ??s protected status along with the inaccessibility of many areas offers this species some degree of protection particularly from collectors (2). It is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) which limits the international export of this species (3).  However trade is very difficult to regulate as there is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes burbidgeae</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and the establishment of habitat reserves (8). ,loss;environmental;environment; ,cites;protected; ,Endangered,['Cuba'],1,3,1.0
794,5693687,,Nepenthaceae,Terrestrial,Malaysia (Sabah); ,,['\n    On CITES Appendix II.\n\n    \n  '],,Endangered,1,Nepenthes burbidgeae,pitcher plant ,Plantae,Tracheophyta,Magnoliopsida,Nepenthales,Nepenthaceae,Nepenthes ,Height: up to 15 m (2),<i>Nepenthes</i> species are threatened by a combination of over-collection and habitat loss (2).  The biodiversity of Indonesia is significantly threatened by widespread habitat destruction caused by illegal and commercial logging and large agricultural projects such as rubber and oil palm plantations (7).  <i>Nepenthes burbidgeae</i> has a highly localised distribution making this species particularly susceptible to extinction throught habitat destruction or catastrophic environmental events such as drought or fire. In addition montane species such as <i>Nepenthes burbidgeae</i> take longer to recover than lowland plants after such events as growth is slower (2).,<i>Nepenthes burbidgeae</i> is found only on Mount Kinabalu which is situated within Kinabalu National Park.  This regionâ??s protected status along with the inaccessibility of many areas offers this species some degree of protection particularly from collectors (2). It is listed under Appendix II of the Convention on International Trade in Endangered Species (CITES) which limits the international export of this species (3).  However trade is very difficult to regulate as there is no requirement for internationally traded <i>Nepenthes</i> to be identified down to species level and plants simply labelled as <i>Nepenthes </i>accounted for 94 percent of all exported <i>Nepenthes </i>plants between 1988 and 1993.  This needs to be remedied and urgent attention is required to close other trade loopholes (2).  <i>Nepenthes</i> species including <i>Nepenthes burbidgeae</i> are being increasingly cultivated helping to reduce the impact on wild populations.  Conservation efforts can be made more effective not only by the implementation and enforcement of protective laws but also by the encouragement of artificial propagation and the establishment of habitat reserves (8). ,loss;environmental;environment; ,cites;protected; ,Endangered,['China'],1,3,1.0
795,7689716,"melodius coqui, wightmans robber frog",Eleutherodactylidae,Terrestrial,Puerto Rico; ,"
    Although some habitat destruction is taking place (due to agriculture and infrastructure development for roads and human settlement), the primary reason for the observed declines is believed to be chytridiomycosis (acting in combination with climate change).

    
  ","[""\n    It occurs in several protected areas, most of which are well managed. Further research is necessary to determine the reasons for the species' decline.\n\n    \n  ""]",Decreasing,Endangered,1,Eleutherodactylus wightmanae,wightmans robber frog ,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Eleutherodactylus ,Female snout-vent length: 2 cm (2),Already restricted in range Wightmanâ??s robber frog populations are in a continuing decline estimated to be greater that 50 percent of the population over a ten year period (1). Threats to this species and its habitat include urban pollution land clearing forest burning and deforestation (1) (4). ,Despite not being the target of any known conservation measures Wightmanâ??s robber frog is afforded a degree of protection in a number of well-managed protected areas. A major conservation priority for this species is further research into determining the cause of its decline (1). There is also a need for implementing a monitoring programme of populations such that trends and responses to changes in habitat as well as climate change and natural disturbances such as hurricanes can be assessed (8). ,disease;pollution; ,protected; ,Critically Endangered,"['Turkey', 'Greece', 'Mauritania']",3,2,1.0
801,1491981,,Bufonidae,Terrestrial,Brazil; ,"
    The major threats are habitat loss due to agricultural expansion, livestock grazing, clear-cutting, the collection of bromeliads, and human settlement. The population at Fund�?£o is threatened by coffee cultivation.

    
  ","['\n    It might occur in the Estacion Bi�?³logica Santa Lucia, and Reserva Bi�?³logica Augusto Ruschi, but this is not confirmed. It has been found in forest on private land, and bromeliads from this area have been introduced into nearby protected areas. Since it is quite possible that these bromeliads contained larvae of the species, it may have become inadvertently established in these protected areas.\n\n    \n  ']",Decreasing,Endangered,1,Dendrophryniscus carvalhoi,carvalhos tree toad ,Animalia,Chordata,Amphibia,Anura,Bufonidae,Dendrophryniscus ,Length: 14 - 19 mm (2),Carvalhoâ??s tree toad like many other amphibians in the <strong>Atlantic forest</strong> is under threat from habitat loss because of deforestation conversion to agricultural land livestock grazing and human settlement (1) (4) (6). The Fundao population of Carvalhoâ??s tree toad in particular is threatened by expanding coffee cultivation in this area (4).,Carvalhoâ??s tree toad is found in protected areas in the Caparao National Park and the Santa Teresa Biological Reserve (7). It may also occur in the Estacion Bi�?³logica Santa Lucia and Reserva Bi�?³logica Augusto Ruschi but this is not confirmed (1) (4). ,loss; ,protected; ,Endangered,['United States'],1,1,1.0
811,75598,albanian water frog,Ranidae,Terrestrial; Freshwater,Albania; Montenegro; ,"
    The major threat is drainage of wetland habitats and aquatic pollution of many waterways caused by agrochemical and industrial (including mining) contaminants. In the northern parts of its range (e.g. Lake Skadar) it is significantly threatened by over collection for commercial purposes. An additional threat is the accidental introduction of commercially transported non-native water frogs.

    
  ","[""\n    It is listed on Appendix III of the Bern Convention. 'Green frogs', including "", <em>R. shqiperica</em>, ', are not protected by law in Yugoslavia (Kalezic and Dzukic 2001; Ljubisavljevic, Dzukic and Kalezic 2003). The species is present in the Lake Skadar protected area, on the border of Montenegro and Albania.\n\n    \n  ']",Decreasing,Endangered,2,Pelophylax shqipericus,albanian water frog ,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax ,Male length: c. 71 mm (2)Female length: c. 74 mm (2),The main threats to the Albanian water frog are the drainage of wetlands and agrochemical and industrial pollution of aquatic habitats. Over-collection of this species for commercial purposes is a significant threat in the northern parts of its range such as along the shores of Lake Skadar (1) (3) (4).,The Albanian water frog is listed on Appendix III of the Bern Convention which means that it should be afforded protection (12). ,pet;pollution; ,protected; ,Endangered,"['Montenegro', 'Albania']",2,2,1.0
813,234110,aran rock lizard,Lacertidae,Terrestrial,France; Spain; ,"
    This species is possibly threatened by overgrazing of habitat by cattle, collection of specimens, and is inferred to be threatened by future habitat loss through the development of ski resorts, lodges and hotels, the construction of roads and tracks, and the use of all-terrain vehicles. It is additionally threatened by the possible development of hydroelectric projects and mining. It is also possible that this species will be significantly impacted by climate change.

    
  ","['\n    This species is listed on Appendix III of the Bern Convention. It does not occur in any protected areas. A recovery plan is in place in Catalu�?±a for ', <em>I. aranica</em>, '.\n\n    \n  ']",Decreasing,Endangered,2,Iberolacerta aranica,aran rock lizard ,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Iberolacerta ,Snout-vent length: up to 6 cm (2),The rocky alpine habitat of the Aran rock lizard is currently threatened by overgrazing by cattle and may face further pressure in the future from the development of ski resorts and the associated building of roads and tracks (1). The IUCN who assessed the conservation status of this lizard also state the possible development of hydroelectric projects and mining as a future threat to this species (1). The low reproductive potential of the Aran rock lizard and its restricted distribution only act to enhance the devastating effects that such threats may have on the population (3).,The Aran rock lizard is listed on Appendix III of the Bern Convention a convention which aims to conserve wild flora and fauna and their natural habitats and to promote European co-operation in that field (4). Wild animal species on Appendix III are protected but can be exploited if regulated in accordance with the convention (4). It is yet to be seen whether this level of protection is sufficient to ensure the survival of this Endangered reptile. , ,protected; ,Endangered,"['Thailand', 'Bangladesh', 'India', 'Malaysia']",4,0,1.0
