id,scientific_name,nickname,common_name,kingdom,phylum,class,order,family,genus,size,threats,conservation,threats_keywords,conservation_keywords, tCount, cCount
413,Tollo,Triakis acutipinna,Sharpfin houndshark (Triakis acutipinna),Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis (1),Maximum adult male length: 90 cm (2)Maximum adult female length: 102 cm (2),Small scale fisheries are common throughout Ecuador and sharks including hound sharks are often victims of <strong>bycatch</strong>. Sharks used to be specifically targeted by Ecuadorian fishing communities; however this was banned in 2004. Nevertheless catch statistics are poorly documented and there is inadequate monitoring of fishing activities (1).,There is little management of fisheries in Ecuador; however a recently introduced national action plan for the protection of sharks which aims to reduce the numbers of sharks caught as <strong>bycatch</strong> as well as increasing the number of Marine Protected Areas (MPAs) off Ecuador from 13 to 15 should hopefully aid shark population recovery in this area (1) (5). ,fishing; ,protected; ,1,1
414,Tollo,Triakis acutipinna,Sharpfin houndshark (Triakis acutipinna),Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis (1),Maximum adult male length: 90 cm (2)Maximum adult female length: 102 cm (2),Small scale fisheries are common throughout Ecuador and sharks including hound sharks are often victims of <strong>bycatch</strong>. Sharks used to be specifically targeted by Ecuadorian fishing communities; however this was banned in 2004. Nevertheless catch statistics are poorly documented and there is inadequate monitoring of fishing activities (1).,There is little management of fisheries in Ecuador; however a recently introduced national action plan for the protection of sharks which aims to reduce the numbers of sharks caught as <strong>bycatch</strong> as well as increasing the number of Marine Protected Areas (MPAs) off Ecuador from 13 to 15 should hopefully aid shark population recovery in this area (1) (5). ,fishing; ,protected; ,1,1
415,Hylobates syndactylus; Symphalangus continentis; Symphalangus gibbon; Symphalangus subfossilis; Symphalangus volzi,Symphalangus syndactylus,Siamang (Symphalangus syndactylus),Animalia,Chordata,Mammalia,Primates,Hylobatidae,Symphalangus (1),Height: up to 1 m (2)Average weight: 10.5 kg (3)Maximum weight: 14 kg (2),The main threats to the siamang are the loss and fragmentation of its forest habitat and capture for the pet trade (1).\xa0,The siamang is known to occur in at least nine protected areas including Gunung Leuser National Park in Indonesia Krau Wildlife Reserve in Malaysia and Hala Bala Wildlife Sanctuary in Thailand (1). The siamang is also protected by laws throughout its range (1) and is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) meaning that international trade in this species is prohibited (4).\xa0 ,loss;fragmentation;pet; ,cites;protected; ,3,2
416,Hylobates syndactylus; Symphalangus continentis; Symphalangus gibbon; Symphalangus subfossilis; Symphalangus volzi,Symphalangus syndactylus,Siamang (Symphalangus syndactylus),Animalia,Chordata,Mammalia,Primates,Hylobatidae,Symphalangus (1),Height: up to 1 m (2)Average weight: 10.5 kg (3)Maximum weight: 14 kg (2),The main threats to the siamang are the loss and fragmentation of its forest habitat and capture for the pet trade (1).\xa0,The siamang is known to occur in at least nine protected areas including Gunung Leuser National Park in Indonesia Krau Wildlife Reserve in Malaysia and Hala Bala Wildlife Sanctuary in Thailand (1). The siamang is also protected by laws throughout its range (1) and is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) meaning that international trade in this species is prohibited (4).\xa0 ,loss;fragmentation;pet; ,cites;protected; ,3,2
417,silvery-brown tamarin; white-footed tamarin,Saguinus leucopus,Silvery-brown bare-face tamarin (Saguinus leucopus),Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus (1),Head-body length: 23 í¢ŒóŒñ 25 cm (2)Tail length: 38 cm (2)Male weight: 494 g (3)Female weight: 490 g (3),The Colombian forests in which the silvery brown bare-face tamarin lives are being rapidly degraded and fragmented due to logging the expansion of agriculture cattle ranching mining and the development of roads. Individuals are also taken from the wild to be sold at markets as pets (2). The combination of these threats has reduced the population of silvery brown bare-face tamarins by over 50 percent in the last 18 years leaving the species in a precarious position where any further reduction could have a cataclysmic effect (2). \xa0,Currently there is only one reserve the Canon del Rio Alicante where the silvery brown bare-face tamarin can be found. However this area is poorly protected and the land has been exploited for the benefit of local people. Therefore a method of protecting this animal whilst allowing development in surrounding communities is needed. A campaign is currently underway for the creation of a protected area for the species in the north-east of the department of Antioquia Colombia which would also benefit the variegated spider monkey (10) (11). ,pet; ,captive breeding;protected; ,1,2
418,silvery-brown tamarin; white-footed tamarin,Saguinus leucopus,Silvery-brown bare-face tamarin (Saguinus leucopus),Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus (1),Head-body length: 23 í¢ŒóŒñ 25 cm (2)Tail length: 38 cm (2)Male weight: 494 g (3)Female weight: 490 g (3),The Colombian forests in which the silvery brown bare-face tamarin lives are being rapidly degraded and fragmented due to logging the expansion of agriculture cattle ranching mining and the development of roads. Individuals are also taken from the wild to be sold at markets as pets (2). The combination of these threats has reduced the population of silvery brown bare-face tamarins by over 50 percent in the last 18 years leaving the species in a precarious position where any further reduction could have a cataclysmic effect (2). \xa0,Currently there is only one reserve the Canon del Rio Alicante where the silvery brown bare-face tamarin can be found. However this area is poorly protected and the land has been exploited for the benefit of local people. Therefore a method of protecting this animal whilst allowing development in surrounding communities is needed. A campaign is currently underway for the creation of a protected area for the species in the north-east of the department of Antioquia Colombia which would also benefit the variegated spider monkey (10) (11). ,pet; ,captive breeding;protected; ,1,2
419,Gobio gobio skadarensis,Gobio skadarensis,Skadar gudgeon (Gobio skadarensis),Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Gobio (1),Length: up to 9 cm (2),The Skadar gudgeon occupies only a relatively small area where it is under threat from water abstraction and drought which may potentially be exacerbated by climate change (1). Fortunately the Zeta stream is fed by a limestone water basin which means that it is unlikely to completely dry out (1).,Skadar Lake is a designated Ramsar site or Wetland of International Importance (6). However there are no specific conservation measures currently known to be in place for the Skadar gudgeon (1). As it is so poorly known this small fish may benefit from further research into its biology ecology and conservation status. , , ,0,0
420,Rhim gazelle; sand gazelle,Gazella leptoceros,Slender-horned gazelle (Gazella leptoceros),Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Gazella (1),14 í¢ŒóŒñ 30 kg (3),As an occupant of particularly poor countries several of which have much civil unrest the slender-horned gazelle has suffered through habitat loss and warfare. It is hunted for meat and its horns are sold as ornaments (3). Unmanaged recreational hunting is a major threat throughout its range and the rapid expansion of disturbance and intrusion caused by desert tourism based on 4x4 and other forms of motorised transport also affects some of the remaining populations in North Africa (7).,A small number of slender-horned gazelle are in captivity around the world. All are part of an international captive breeding programme but are derived from a very small initial founder group of original wild-caught Tunisian stock (7) (8). There are also very small captive groups held by national conservation institutions in Algeria and Tunisia.  In the wild formation of the Djebil and Senghar National Parks in Tunisia and the Siwa protected area in western Egypt (all during the 1990s) are important initiatives in the conservation of this species (7). ,loss;hunting; ,captive breeding;protected; ,2,2
421,Green psammodromus,Psammodromus microdactylus,Small-fingered psammodromus (Psammodromus microdactylus),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Psammodromus (1),c. 3 - 4 g (2),The absence of suitable habitat as a result of the abandonment of grazing regimes could be a threat to the small-fingered psammodromus (1).,Studies have shown that less than five percent of the small-fingered psammodromus\xe2\x80\x99 habitat is located within protected areas (6) but it is not known whether this species is found within these areas (1). , ,protected; ,0,1
422,Ounce,Panthera uncia,Snow leopard (Panthera uncia),Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera (1),Head-body length: 100 - 130 cm (2)Tail length: 80 - 100 cm (2)Male weight: 45 - 55 kg (3)Female weight: 35 - 40 kg (3),The natural prey of the snow leopard have been systematically hunted out of many areas of the high central Asian mountains and leopard numbers have declined as a result (3). Big cats often turn to domestic stock as an alternative source of food and this can incite retaliation from local farmers (3). Snow leopard fur was once highly prized in the international fashion world and around 1000 pelts were traded a year in the 1920\xe2\x80\x99s (3). A further threat to this species comes from the increasing demand for bones for traditional Oriental medicine (3).,Snow leopards are protected throughout most of their range and international trade is banned by their listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (5). The International Snow Leopard Trust and the Snow Leopard Conservancy are the world's two leading organizations dedicated specifically to conserving this endangered cat (6) (8). Both organisations have developed a multifaceted approach to the conservation of this species; involving research and data storage educational initiatives community-based conservation and the protection of livestock to prevent retributive killing of snow leopards (6) (8). Local people are involved in various initiatives and there are plans to link fragmented populations by habitat corridors (3) which may improve the chances of the long-term survival of this secretive and critically endangered cat. , ,cites;protected; ,0,2
423,Ounce,Panthera uncia,Snow leopard (Panthera uncia),Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera (1),Head-body length: 100 - 130 cm (2)Tail length: 80 - 100 cm (2)Male weight: 45 - 55 kg (3)Female weight: 35 - 40 kg (3),The natural prey of the snow leopard have been systematically hunted out of many areas of the high central Asian mountains and leopard numbers have declined as a result (3). Big cats often turn to domestic stock as an alternative source of food and this can incite retaliation from local farmers (3). Snow leopard fur was once highly prized in the international fashion world and around 1000 pelts were traded a year in the 1920\xe2\x80\x99s (3). A further threat to this species comes from the increasing demand for bones for traditional Oriental medicine (3).,Snow leopards are protected throughout most of their range and international trade is banned by their listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (5). The International Snow Leopard Trust and the Snow Leopard Conservancy are the world's two leading organizations dedicated specifically to conserving this endangered cat (6) (8). Both organisations have developed a multifaceted approach to the conservation of this species; involving research and data storage educational initiatives community-based conservation and the protection of livestock to prevent retributive killing of snow leopards (6) (8). Local people are involved in various initiatives and there are plans to link fragmented populations by habitat corridors (3) which may improve the chances of the long-term survival of this secretive and critically endangered cat. , ,cites;protected; ,0,2
424,Socorro green parakeet,Aratinga brevipes,Socorro parakeet (Aratinga brevipes),Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga (1),Head-body length: 31 í¢ŒóŒñ 33 cm (2),As the Socorro parakeet is found on a single very small island and numbers only around 300 individuals it is extremely vulnerable to any destructive activities within its range (8) (9). The primary threat to this species is the persistent degradation of its habitat by introduced sheep. Sheep grazing has caused soil erosion and prevents the natural regeneration of the island\xe2\x80\x99s forests (6) (7). This has been most severe on the southern side of the island which is now largely treeless and supports very little birdlife (4). Consequently over the last 50 years the Socorro parakeet\xe2\x80\x99s habitat has contracted substantially. Predation by feral cats which were brought to the island in the 1950s is also a threat but at present it is unclear how significant this may be (4) (6) (7) (9).,The remote island of Socorro supports a unique diversity of birdlife including several <strong>endemic</strong> species and consequently is of high conservation importance (4). This island along with several others in the Revillagigedo chain was designated a biosphere reserve in 1994 and as a direct result of this several conservation measures have been implemented that aim to restore and preserve the island\xe2\x80\x99s landscape. Programmes have begun to remove sheep and feral cats from the island and should stimulate the regeneration of the forest whilst diminishing the threat of predation on the island\xe2\x80\x99s birds (6). The number of sheep on the island has already been successfully reduced to less than 300 with further culls planned (9) (10). Furthermore a nest-box provision programme for the Socorro parakeet has begun and a captive breeding programme has been established which will be used as a last ditch attempt to save the species if the natural population drops to critical levels (6) (10). , ,captive breeding; ,0,1
425,Petit-duc d'Irí€ŒÂne,Otus ireneae,Sokoke scops-owl (Otus ireneae),Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus (1),45 í¢ŒóŒñ 50 g (2),The Arabuko-Sokoke forest has been overexploited during recent years by commercial logging.  Commercial harvesting has not been regulated and coupled with rampant illegal exploitation has contributed to forest degradation and loss of biodiversity (5).  Within the Sokoke scops-owl\xe2\x80\x99s Tanzanian range the mountains support a high human population density which places enormous pressure on the land for subsistence agriculture.  In the past mechanical harvesting of timber caused much environmental damage but that has now stopped and today most timber is extracted using pit-sawing techniques where professional sawyers cut trees into planks on site and walk out the forest with sawn timber.  Whilst this is much less damaging almost all of this harvesting is illegal.  In addition firewood harvesting is extensive throughout the mountains and is particularly hard to regulate (6).  The harvesting of particular tree species is likely to have a great impact on the Sokoke scops-owl as <i>Brachylaena</i> trees provide essential nesting sites and <i>Cynometra</i> trees are important areas for roosting and foraging (4).,The Sokoke scops-owl is listed on Appendix II of the Convention on International Trade in Endangered Species (CITES) which means that any trade in this species should be carefully regulated (3).  It has been the focus of a number of surveys (4) (7) and there are also measures in place in both parts of its range to conserve critical habitat.  The Arabuko-Sokoke forest was established as a reserve in 1943 and contains two nature reserves within it (8).  The Arabuko-Sokoke Forest Management Team has developed a Strategic Forest Management Plan which aims to have an intact and fully functioning forest ecosystem with no reduction in the existing forest area by 2027 (5).  In the East Usambaras the Tanzania Forest Conservation Group has been promoting conservation since 1993.  The project has assisted villagers to plant over one million trees establish three village forest reserves and have a greater understanding of forest conservation (9). ,loss;environmental;environment; ,cites; ,3,1
426,Albatros brun,Phoebetria fusca,Sooty albatross (Phoebetria fusca),Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria (1),Head-body length: 84 í¢ŒóŒñ 89 cm (2)Wingspan: 203 cm (2)Male weight: 2.7 kg (2)Female weight: 2.4 kg (2),Introduced rats are known to consume albatross eggs and the sooty albatross is thought to be vulnerable to avian cholera and the erysipelas bacteria (2) (6). Pollution from plastics oils and chemicals is also a threat (2).,The sooty albatross is protected in some of its range; it exists in one World Heritage Site one Special Nature Reserve and several other nature reserves. There are continuing population monitoring and foraging studies and it has been proposed that key sites are re-assessed regularly (4). ,pollution; ,protected; ,1,1
427,Albatros brun,Phoebetria fusca,Sooty albatross (Phoebetria fusca),Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria (1),Head-body length: 84 í¢ŒóŒñ 89 cm (2)Wingspan: 203 cm (2)Male weight: 2.7 kg (2)Female weight: 2.4 kg (2),Introduced rats are known to consume albatross eggs and the sooty albatross is thought to be vulnerable to avian cholera and the erysipelas bacteria (2) (6). Pollution from plastics oils and chemicals is also a threat (2).,The sooty albatross is protected in some of its range; it exists in one World Heritage Site one Special Nature Reserve and several other nature reserves. There are continuing population monitoring and foraging studies and it has been proposed that key sites are re-assessed regularly (4). ,pollution; ,protected; ,1,1
428,Helmeted curassow; horned curassow,Pauxi unicornis,Southern helmeted curassow (Pauxi unicornis),Animalia,Chordata,Aves,Galliformes,Cracidae,Pauxi (1),Size: 85 í¢ŒóŒñ 95 cm (2),The southern helmeted curassow is now threatened with extinction due to over-hunting and habitat destruction (6). There has been widespread clearance of Bolivia\xe2\x80\x99s forests within this bird\xe2\x80\x99s altitudinal range for the cultivation of staple and export crops (2) such as coca and citrus fruits (7). Rural development road-building and hunting are also thought to have dramatically impacted the survival of this rare bird. In Peru oil exploration poses a threat to the species\xe2\x80\x99 habitat in addition to opening up the foothills to human colonisation and hunting (2).,Fortunately large parts of the southern helmeted curassow\xe2\x80\x99s current range are protected by Ambor\xc3\xb3 and Carrasco National Parks (2). A number of extensive surveys have been conducted in recent years (2) and continue with the hope that the information gained will help inform a long-term conservation programme (8). Sadly most surveys have met with little success in locating the species in many of the searched areas (2). However surveys conducted by a team from Asociacion Armon\xc3\xada (BirdLife in Bolivia) resulted in the remarkable rediscovery of the subspecies <i>C. u. koepckeae</i> in Peru in 2005 being the first observation of this bird in 36 years. This work has subsequently been followed up with an environmental awareness project involving educating local people about their unique bird and distributing T-shirts and notebooks that depict the curassow along with words that inspire pride in the local fauna and emphasise the need to preserve it (4). The project appears to have had some success with reports that there is a genuine enthusiasm amongst local people to protect their <strong>endemic</strong> bird now that they appreciated its global significance (4) which is a positive first step towards safeguarding its long-term survival. ,hunting; ,protected; ,1,1
429,southern woolly spider monkey; woolly spider monkey,Brachyteles arachnoides,Southern muriqui (Brachyteles arachnoides),Animalia,Chordata,Mammalia,Primates,Atelidae,Brachyteles (1),Male head-body length: 55 í¢ŒóŒñ 78 cm (2)Female head-body length: 46 í¢ŒóŒñ 63 cm (2)Male tail length: 74 í¢ŒóŒñ 80 cm (2)Female tail length: 65 í¢ŒóŒñ 74 cm (2)Male weight: 12 í¢ŒóŒñ 15 kg (2)Female weight: 9.5 í¢ŒóŒñ 11 kg (2),The muriqui was once widespread in the Atlantic Forest Region but today the southern species is thought to number just under 1000 individuals (4). This region of Brazil has been devastated by habitat destruction as it is the most populated and industrialised region of the country (4). Vast tracts of forest have been lost. In addition these large primates were an important food source for people in the region and have been widely hunted (4).,The muriqui has been a flagship species for the conservation of Brazil\xe2\x80\x99s fragile Atlantic Forest Region (8). Conservation efforts are still imperative and \xe2\x80\x9cProgramme Muriqui\xe2\x80\x9d will continue to undertake research on populations within the Serra dos Organos National Park; the possibility of reintroductions is being investigated and an ongoing education programme has been established (9). , , ,0,0
430,southern woolly spider monkey; woolly spider monkey,Brachyteles arachnoides,Southern muriqui (Brachyteles arachnoides),Animalia,Chordata,Mammalia,Primates,Atelidae,Brachyteles (1),Male head-body length: 55 í¢ŒóŒñ 78 cm (2)Female head-body length: 46 í¢ŒóŒñ 63 cm (2)Male tail length: 74 í¢ŒóŒñ 80 cm (2)Female tail length: 65 í¢ŒóŒñ 74 cm (2)Male weight: 12 í¢ŒóŒñ 15 kg (2)Female weight: 9.5 í¢ŒóŒñ 11 kg (2),The muriqui was once widespread in the Atlantic Forest Region but today the southern species is thought to number just under 1000 individuals (4). This region of Brazil has been devastated by habitat destruction as it is the most populated and industrialised region of the country (4). Vast tracts of forest have been lost. In addition these large primates were an important food source for people in the region and have been widely hunted (4).,The muriqui has been a flagship species for the conservation of Brazil\xe2\x80\x99s fragile Atlantic Forest Region (8). Conservation efforts are still imperative and \xe2\x80\x9cProgramme Muriqui\xe2\x80\x9d will continue to undertake research on populations within the Serra dos Organos National Park; the possibility of reintroductions is being investigated and an ongoing education programme has been established (9). , , ,0,0
431,Chilean river otter; huillin,Lontra provocax,Southern river otter (Lontra provocax),Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra (1),5 - 10 kg (3),The southern river otter has disappeared from much of its original range as a result of habitat destruction and excessive hunting (1) (5) and it is now known from only around seven isolated areas (1). Historically the species was hunted for its highly priced fur and despite hunting now being illegal enforcement is often poor and illegal poaching is common (1) (3). Habitat loss and degradation also continue to be major threats as a result of dam construction the removal of vegetation along riverbanks river and stream canalisation drainage for agriculture and water pollution (1) (3) (5). Large-scale deforestation has also indirectly affected freshwater habitats causing severe flooding and the deposition of soil on river beds (1). There has also been some concern that the southern river otter may face competition from the introduced American mink <em>Mustela vison</em> although this is now believed to be less likely than previously feared (1) (3).,International trade in the southern river otter is banned under its listing on Appendix I of the Convention on International Trade in Endangered Species (CITES) (4) and the species is also listed on Appendix I of the Convention on Migratory Species (CMS) (6). In Argentina important populations occur in Nahuel Huapi National Park Tierra del Fuego National Park and on Staten Island (1) (3) (7). Recommended conservation measures for the southern river otter include population monitoring improved control of poaching education measures and the maintenance of vegetation cover along shorelines. Reintroductions into parts of the species\xe2\x80\x99 former range have also been suggested provided that anti-poaching legislation is properly enforced (1) (3). The distribution of the southern river otter has been linked to the distribution of <strong>crustacean</strong> prey the presence of human habitation and the presence of introduced mink and further studies have been recommended to better understand the effects of these factors on the otter\xe2\x80\x99s conservation (7). ,loss;hunting;poaching;pet;pollution; ,cites; ,5,1
432,Lagartija De Valverde,Algyroides marchi,Spanish algyroides (Algyroides marchi),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Algyroides (1),Length: c. 15 cm (2) (3),Although locally common in areas of good habitat the Spanish algyroides is in decline. Habitat loss is a threat to this species occurring through deforestation stream bank erosion water abstraction and forest fires (1).,The Spanish algyroides is listed both on Annex IV of the EU Habitats Directive (7) and on Appendix II of the Bern Convention which means that it\xa0should be\xa0afforded strict protection (8). This species is also protected by national legislation and occurs in some protected areas (1). ,loss; ,protected; ,1,1
433,crestless lizard,Calotes liocephalus,Spineless forest lizard (Calotes liocephalus),Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes (1),Male length (excluding tail): 89 mm (2)Female length (excluding tail): 83 - 90.5 mm (2),Habitat destruction fragmentation and disturbance pose a serious threat to the spineless forest lizard with Sri Lanka\xe2\x80\x99s forests having been dramatically reduced in recent years due to clearance of montane forest mainly for cardamom cultivation but also for grazing livestock by logging companies illegal logging and removal of timber by peripheral villagers (5) (7). Indeed much of the forest understorey has been cleared for planting cardamom in the Knuckles Mountains where this lizard is found although the canopy has been retained for shade (4). The Agra-Bopath area of this species\xe2\x80\x99 range is becoming increasingly isolated by surrounding vegetable cultivations and tea plantations with the lack of clearly demarcated boundaries leading to significant encroachment into this forest (4) (5). Isolation of populations prevents both important genetic flow between subpopulations and means of escape from forest fires (4) (7). Further more there is intensive use of pesticides on vegetable cultivations and tea plantations in Sri Lanka which could be having a serious polluting affect. Although the impact these chemicals are having on non-target species is not yet known studies elsewhere indicate that they could potentially be devastating (4) with possibilities for <strong>bioaccumulation</strong> (5). Climatic change and global warming may also be having a negative impact on the species as a result of forest diebacks due to acid rain (5). Domestic animals in the Knuckles Mountains such as cats dogs and poultry also prey on reptiles (7) although the <strong>arboreal</strong> nature of the spineless forest lizard probably limits this threat.,Project Knuckles 2004 was initiated to conduct the first in-depth study of reptiles and the primary threats facing them in the Knuckles Mountain Range (7). It was discovered that the region held some of the highest reptile diversity in the country and is therefore an important site for conservation (9). The spineless forest lizard was one of three target species studied (9). The mountain range currently has little protected status or conservation management but the discovery of many endemic and endangered reptiles in the area may help campaigns to achieve greater protection in the future (4). ,fragmentation; ,protected; ,1,1
434,crestless lizard,Calotes liocephalus,Spineless forest lizard (Calotes liocephalus),Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes (1),Male length (excluding tail): 89 mm (2)Female length (excluding tail): 83 - 90.5 mm (2),Habitat destruction fragmentation and disturbance pose a serious threat to the spineless forest lizard with Sri Lanka\xe2\x80\x99s forests having been dramatically reduced in recent years due to clearance of montane forest mainly for cardamom cultivation but also for grazing livestock by logging companies illegal logging and removal of timber by peripheral villagers (5) (7). Indeed much of the forest understorey has been cleared for planting cardamom in the Knuckles Mountains where this lizard is found although the canopy has been retained for shade (4). The Agra-Bopath area of this species\xe2\x80\x99 range is becoming increasingly isolated by surrounding vegetable cultivations and tea plantations with the lack of clearly demarcated boundaries leading to significant encroachment into this forest (4) (5). Isolation of populations prevents both important genetic flow between subpopulations and means of escape from forest fires (4) (7). Further more there is intensive use of pesticides on vegetable cultivations and tea plantations in Sri Lanka which could be having a serious polluting affect. Although the impact these chemicals are having on non-target species is not yet known studies elsewhere indicate that they could potentially be devastating (4) with possibilities for <strong>bioaccumulation</strong> (5). Climatic change and global warming may also be having a negative impact on the species as a result of forest diebacks due to acid rain (5). Domestic animals in the Knuckles Mountains such as cats dogs and poultry also prey on reptiles (7) although the <strong>arboreal</strong> nature of the spineless forest lizard probably limits this threat.,Project Knuckles 2004 was initiated to conduct the first in-depth study of reptiles and the primary threats facing them in the Knuckles Mountain Range (7). It was discovered that the region held some of the highest reptile diversity in the country and is therefore an important site for conservation (9). The spineless forest lizard was one of three target species studied (9). The mountain range currently has little protected status or conservation management but the discovery of many endemic and endangered reptiles in the area may help campaigns to achieve greater protection in the future (4). ,fragmentation; ,protected; ,1,1
435,Hidden angelshark,Squatina guggenheim,Spiny angel shark (Squatina guggenheim),Animalia,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Squatina (1),Average total length: 70 - 80 cm (2),One of the greatest threats to the spiny angel shark is from overfishing off the South American coast. As the spiny angel shark is a bottom dweller it is especially prone to being caught by gillnets and bottom trawling (1).,Brazil currently has no measures in place to control the angel shark fishery although trawling inshore waters is prohibited. Argentina has established a Maximum Permitted Catch of the spiny angel shark to limit the number of spiny angel sharks caught by fisheries (1). ,fishing;overfishing; , ,2,0
436,cog-wheel turtle; Spiny hill turtle; spiny terrapin; sunburst turtle,Heosemys spinosa,Spiny turtle (Heosemys spinosa),Animalia,Chordata,Reptilia,Testudines,Bataguridae,Heosemys (1),1.5 í¢ŒóŒñ 2 kg (2),Like most Asian turtle species the spiny turtle is in grave danger of extinction due to over-collection from the wild for the Asian food market and international pet trade as well as being threatened by the destruction of its habitat (11). Wild populations are thought to be plummeting particularly in Indonesia where they are considered Critically Endangered and known trade volumes have recently declined by about 50 %. Elsewhere the species is restricted to small and isolated populations over much of its range (1). When they reach the West and enter the pet market imported Asian turtles are often parasite ridden and mortality is relatively high (4) (8). Many have also had to endure poor and incredibly stressful conditions in food markets and are dehydrated and malnourished from their long journeys from the Asian food markets to the Western pet trade (8). Unfortunately the extreme difficulty in breeding this species in captivity means that all specimens found in pet stores today are still caught from the wild and freshly imported from Asia.,Like many other species the spiny turtle would benefit from captive breeding programmes or \xe2\x80\x98turtle farms\xe2\x80\x99 to supply the food and pet market and thereby mitigate the demand to remove large numbers from the wild (4). Unfortunately this species is notoriously difficult to breed in captivity and only a handful of institutions have ever successfully bred the species including Zoo Atlanta and Knoxville Zoo in the US. and Durell Wildlife in Jersey Europe (9) (11). Nevertheless these few successes provide fresh hope that a captive breeding programme might one day be able to haul the species back from the brink of extinction (12). It is also hoped that these successful reproductive attempts will help provide more information about the biology and ecology of this beautiful yet complex species information that can prove invaluable for conservation action in the wild (11) (12). ,pet; ,captive breeding; ,1,1
437,Fischerí¢ŒóŒ»s ground-thrush,Zoothera guttata,Spotted ground-thrush (Zoothera guttata),Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera (1),45 - 78 g (2),The destruction of spotted ground-thrush habitat has meant that the small and severely fragmented populations are in decline (4).  Bush fires deforestation and the spread of exotic species have continued to decrease the amount of suitable habitat (6).  In South Africa the wintering habitat has been destroyed by mining and in the coastal forests of Tanzania which are used as \xe2\x80\x98stepping stones\xe2\x80\x99 in migration charcoal production has degraded habitat (6).  Despite habitat loss being the primary threat to the spotted ground-thrush its recovery is also limited by its own poor breeding success (6).,The spotted ground-thrush is protected by its listing on Appendix II of the Convention on Migratory Species (CMS) (3).  An International Action Plan for the spotted ground-thrush was produced by BirdLife International with a five year plan set out.  It is hoped the plan due to end in 2010 will improve knowledge on the species\xe2\x80\x99 habitat requirements breeding success and migration routes so that the population can be stabilised (4) (6). ,loss; ,protected; ,1,1
438,Ceylon whistling thrush,Myophonus blighi,Sri Lanka whistling thrush (Myophonus blighi),Animalia,Chordata,Aves,Passeriformes,Turdidae,Myophonus (1),Size: 19 í¢ŒóŒñ 21.5 cm (2),The main threat to the Sri Lanka whistling thrush is the clearance of its upland forest habitat which has left this rare species with a very small severely fragmented population and range that are undergoing continuing declines. Montane forests have been extensively cleared for conversion to timber plantations and agriculture firewood collection particularly around Nuwara Eliya Maskeliya and Bogowantaalaw and gem mining. Even some \xe2\x80\x98protected forests\xe2\x80\x99 are unable to escape these threats and continue to be degraded and fragmented. In particular the replacement of natural mixed forests containing fruiting trees with single-species plantations has badly affected this bird by reducing its available food supply. In addition streams within this species\xe2\x80\x99 range are becoming polluted with run-off chemicals such as insecticides and pesticides from nearby vegetable farms almost certainly harming stream-dependent birds such as the Sri Lanka Whistling-thrush. It has also been speculated that mountain forest die-back may be the result of acid clouds rain and mist caused by air-pollution (3) (4).,The Sri Lanka whistling thrush is legally protected in Sri Lanka and occurs in several national parks and forest reserves most notably Peak Wilderness Sanctuary and Hakgala Strict Nature Reserve (3) (4). A moratorium was also passed in 1990 to protect wet zone forests from logging (3). ,pollution; ,protected; ,1,1
439,Cardo de Plata,Stemmacantha cynaroides,Stemmacantha (Stemmacantha cynaroides),Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Stemmacantha (1),Stemmacantha (1),[],[] , , ,0,0
